Reuters RIC (Italy),N.,ISIN,Name,Trading Code,Bloomerg Ticker (Italy),Area Benchmark,start_date
EUN.MI,81,IE0008470928,ISHARES STOXX EUROPE 50 UCITS ETF,EUN,EUN IM,AZIONARIO EUROPA - AREA,2002-09-30 00:00:00
EUE.MI,82,IE0008471009,ISHARES EURO STOXX 50 UCITS ETF (DIST),EUE,EUE IM,AZIONARIO EUROPA - AREA,2002-09-30 00:00:00
CASAMO.MI,84,IE0031091642,AMUNDI S&P EURO UCITS ETF,CASAMO,SPDRO IM,AZIONARIO EUROPA - AREA,2002-10-24 00:00:00
CASAME.MI,83,IE0031091428,AMUNDI S&P EUROPE 350 UCITS ETF,CASAME,SPDRE IM,AZIONARIO EUROPA - AREA,2002-10-24 00:00:00
IUSA.MI,85,IE0031442068,ISHARES S&P 500 UCITS ETF (DIST),IUSA,IUSA IM,AZIONARIO NORD AMERICA,2003-02-28 00:00:00
EQQQ.MI,86,IE0032077012,POWERSHARES EQQQ NASDAQ-100 UCITS ETF,EQQQ,EQQQ IM,AZIONARIO NORD AMERICA,2003-06-26 00:00:00
DJE.MI,10,FR0007056841,LYXOR UCITS ETF DJ INDUSTRIAL AVERAGE,DJE,DJE IM,AZIONARIO NORD AMERICA,2003-11-24 00:00:00
MSE.MI,9,FR0007054358,LYXOR UCITS ETF EURO STOXX 50,MSE,MSE IM,AZIONARIO EUROPA - AREA,2003-11-24 00:00:00
MGT.MI,12,FR0007075494,LYXOR UCITS ETF DJ GLOBAL TITANS 50,MGT,MGT IM,AZIONARIO MONDO,2003-11-24 00:00:00
ETFMIB.MI,14,FR0010010827,LYXOR UCITS ETF FTSE MIB,ETFMIB,ETFMIB IM,AZIONARIO ITALIA,2003-11-24 00:00:00
IBCX.MI,87,IE0032523478,ISHARES EU CORP BOND LARGE CAP UCITS ETF,IBCX,IBCX IM,OBBLIGAZIONARIO CORPORATE,2004-04-08 00:00:00
EM35.MI,16,FR0010037234,LYXOR UCITS ETF EMTS 3-5Y INV GRADE DR,EM35,EM35 IM,TITOLI DI STATO - EURO,2004-07-07 00:00:00
EM1015.MI,17,FR0010037242,LYXOR UCITS ETF EMTS 10-15Y INV GRADE DR,EM1015,EM1015 IM,TITOLI DI STATO - EURO,2004-07-07 00:00:00
DJSC.MI,92,IE00B02KXM00,ISHARES EURO STOXX SMALL UCITS ETF,DJSC,DJSC IM,AZIONARIO STYLE (SVILUPPATI),2005-02-24 00:00:00
FXC.MI,90,IE00B02KXK85,ISHARES CHINA LARGE CAP UCITS ETF,FXC,FXC IM,AZIONARIO EMERGENTI - ASIA,2005-02-24 00:00:00
IJPN.MI,89,IE00B02KXH56,ISHARES MSCI JAPAN UCITS ETF (DIST),IJPN,IJPN IM,AZIONARIO PACIFICO,2005-02-24 00:00:00
DJMC.MI,91,IE00B02KXL92,ISHARES EURO STOXX MID UCITS ETF,DJMC,DJMC IM,AZIONARIO STYLE (SVILUPPATI),2005-02-24 00:00:00
CINA.MI,23,FR0010204081,LYXOR UCITS ETF CHINA ENTERPRISE (HSCEI),CINA,CINA IM,AZIONARIO EMERGENTI - ASIA,2005-11-25 00:00:00
EM13.MI,24,FR0010222224,LYXOR UCITS ETF EMTS 1-3Y INV GRADE DR,EM13,EM13 IM,TITOLI DI STATO - EURO,2006-02-09 00:00:00
IEER.MI,103,IE00B0M63953,ISHARES MSCI EAST EUROP CAPPED UCITS ETF,IEER,IEER IM,AZIONARIO EMERGENTI - EST EUROPA,2006-03-08 00:00:00
LQDE.MI,88,IE0032895942,ISHARES $ CORPORATE BOND UCITS ETF,LQDE,LQDE IM,OBBLIGAZIONARIO CORPORATE,2006-03-08 00:00:00
IBZL.MI,100,IE00B0M63516,ISHARES MSCI BRAZIL UCITS ETF (DIST),IBZL,IBZL IM,AZIONARIO EMERGENTI - CENTRO/SUD AMERICA,2006-03-08 00:00:00
IPRP.MI,98,IE00B0M63284,ISHARES EUROPE PROPERTY YIELD UCITS ETF,IPRP,IPRP IM,REAL ESTATE,2006-03-08 00:00:00
IFFF.MI,102,IE00B0M63730,ISHARES MSCI AC FAREAST EX-JPN UCITS ETF,IFFF,IFFF IM,AZIONARIO EMERGENTI - ASIA,2006-03-08 00:00:00
ISF.MI,80,IE0005042456,ISHARES CORE FTSE 100 UCITS ETF (DIST),ISF,ISF IM,AZIONARIO EUROPA - SINGOLI PAESI,2006-03-08 00:00:00
IEEM.MI,97,IE00B0M63177,ISHARES MSCI EMERG MKTS UCITS ETF (DIST),IEEM,IEEM IM,AZIONARIO EMERGENTI - MONDO,2006-03-08 00:00:00
ITWN.MI,101,IE00B0M63623,ISHARES MSCI TAIWAN UCITS ETF,ITWN,ITWN IM,AZIONARIO EMERGENTI - ASIA,2006-03-08 00:00:00
IDVY.MI,94,IE00B0M62S72,ISHARES EURO DIVIDEND UCITS ETF,IDVY,IDVY IM,AZIONARIO STYLE (SVILUPPATI),2006-03-08 00:00:00
IWRD.MI,93,IE00B0M62Q58,ISHARES MSCI WORLD UCITS ETF (DIST),IWRD,IWRD IM,AZIONARIO MONDO,2006-03-08 00:00:00
IKOR.MI,99,IE00B0M63391,ISHARES MSCI KOREA UCITS ETF (DIST),IKOR,IKOR IM,AZIONARIO EMERGENTI - ASIA,2006-03-08 00:00:00
IBCI.MI,95,IE00B0M62X26,ISHARES EU INFL LINK GOVT BOND UCITS ETF,IBCI,IBCI IM,INFLAZIONE,2006-03-08 00:00:00
IUKD.MI,96,IE00B0M63060,ISHARES UK DIVIDEND UCITS ETF,IUKD,IUKD IM,AZIONARIO STYLE (SVILUPPATI),2006-03-08 00:00:00
JPN.MI,25,FR0010245514,LYXOR UCITS ETF JAPAN (TOPIX),JPN,JPN IM,AZIONARIO PACIFICO,2006-04-06 00:00:00
MEU.MI,26,FR0010261198,LYXOR UCITS ETF MSCI EUROPE,MEU,MEU IM,AZIONARIO EUROPA - AREA,2006-04-21 00:00:00
CRB.MI,27,FR0010270033,LYXOR UCITS ETF COMMODITIES CRB,CRB,CRB IM,COMMODITIES,2006-06-01 00:00:00
WLD.MI,30,FR0010315770,LYXOR UCITS ETF MSCI WORLD,WLD,WLD IM,AZIONARIO MONDO,2006-09-07 00:00:00
AEJ.MI,29,FR0010312124,LYXOR UCITS ETF MSCI AC ASIA-PAC EX JPN,AEJ,AEJ IM,AZIONARIO EMERGENTI - ASIA,2006-09-07 00:00:00
LUSA.MI,28,FR0010296061,LYXOR UCITS ETF MSCI USA,LUSA,LUSA IM,AZIONARIO NORD AMERICA,2006-09-14 00:00:00
IEUX.MI,105,IE00B14X4N27,ISHARES MSCI EUROPE EX-UK UCITS ETF,IEUX,IEUX IM,AZIONARIO EUROPA - AREA,2006-09-25 00:00:00
IAPD.MI,108,IE00B14X4T88,ISHARES ASIA PACIFIC DIVIDEND UCITS ETF,IAPD,IAPD IM,AZIONARIO STYLE (SVILUPPATI),2006-09-25 00:00:00
INAA.MI,104,IE00B14X4M10,ISHARES MSCI NORTH AMERICA UCITS ETF,INAA,INAA IM,AZIONARIO NORD AMERICA,2006-09-25 00:00:00
IBTS.MI,107,IE00B14X4S71,ISHARES $ TREASURY BOND 1-3YR UCITS ETF,IBTS,IBTS IM,TITOLI DI STATO - NON EURO,2006-09-25 00:00:00
IBGS.MI,106,IE00B14X4Q57,ISHARES EURO GOVT BOND 1-3YR UCITS ETF,IBGS,IBGS IM,TITOLI DI STATO - EURO,2006-09-25 00:00:00
DAXX.MI,147,LU0252633754,LYXOR UCITS ETF DAX,DAXX,DAXX IM,AZIONARIO EUROPA - SINGOLI PAESI,2006-11-16 00:00:00
CRBN.MI,51,FR0010346205,LYXOR UCITS ETF COMMODITIES CRB EX-ENERG,CRBN,CRBN IM,COMMODITIES,2006-11-16 00:00:00
BRES.MI,48,FR0010345389,LYXOR UCITS ETF STX EUROPE 600 BASIC RES,BRES,BRES IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
RTA.MI,45,FR0010344986,LYXOR UCITS ETF STX EU 600 RETAIL,RTA,RTA IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
AUTP.MI,33,FR0010344630,LYXOR UCITS ETF STOXX EU 600 AUTO&PARTS,AUTP,AUTP IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
CHM.MI,49,FR0010345470,LYXOR UCITS ETF STOXX EURO 600 CHEMICALS,CHM,CHM IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
TELE.MI,35,FR0010344812,LYXOR UCITS ETF STX EU 600 TELECOMMUNIC,TELE,TELE IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
INDG.MI,40,FR0010344887,LYXOR UCITS ETF STX EU 600 IND GOOD&SERV,INDG,INDG IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
MDA.MI,42,FR0010344929,LYXOR UCITS ETF STX EU 600 MEDIA,MDA,MDA IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
FINS.MI,46,FR0010345363,LYXOR UCITS ETF STX EU 600 FINANCIAL SER,FINS,FINS IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
TRVL.MI,36,FR0010344838,LYXOR UCITS ETF STX EU 600 TRAV&LEISURE,TRVL,TRVL IM,AZIONARIO SETTORIALI (SVILUPPATI),2006-11-22 00:00:00
HK.MI,52,FR0010361675,LYXOR UCITS ETF HONG KONG (HSI),HK,HK IM,AZIONARIO EMERGENTI - ASIA,2006-12-14 00:00:00
KOR.MI,54,FR0010361691,LYXOR UCITS ETF MSCI KOREA,KOR,KOR IM,AZIONARIO EMERGENTI - ASIA,2006-12-14 00:00:00
